longitude,latitude,year,month,day,hour,PV_power,WS10m
-4.48333,48.400002,2022,01,13,17,0.0,2.83
-4.48333,48.400002,2022,01,13,18,0.0,3.24
-4.48333,48.400002,2022,01,13,19,0.0,3.66
-4.48333,48.400002,2022,01,13,20,0.0,3.86
-4.48333,48.400002,2022,01,13,21,0.0,3.79
-4.48333,48.400002,2022,01,13,22,0.0,3.66
-4.48333,48.400002,2022,01,13,23,0.0,3.52
-4.48333,48.400002,2022,01,14,00,0.0,3.59
-4.48333,48.400002,2022,01,14,01,0.0,3.79
-4.48333,48.400002,2022,01,14,02,0.0,3.86
-4.48333,48.400002,2022,01,14,03,0.0,3.79
-4.48333,48.400002,2022,01,14,04,0.0,3.59
-4.48333,48.400002,2022,01,14,05,0.0,3.38
-4.48333,48.400002,2022,01,14,06,0.0,3.24
-4.48333,48.400002,2022,01,14,07,0.0,3.24
-4.48333,48.400002,2022,01,14,08,0.0,3.31
-4.48333,48.400002,2022,01,14,09,63.38,3.31
-4.48333,48.400002,2022,01,14,10,178.05,3.24
-4.48333,48.400002,2022,01,14,11,275.18,3.24
-4.48333,48.400002,2022,01,14,12,311.91,3.03
-4.48333,48.400002,2022,01,14,13,285.3,2.76
-4.48333,48.400002,2022,01,14,14,217.64,2.55
-4.48333,48.400002,2022,01,14,15,121.06,2.55
-4.48333,48.400002,2022,01,14,16,13.6,2.28
-4.48333,48.400002,2022,01,14,17,0.0,2.41
-4.48333,48.400002,2022,01,14,18,0.0,2.48
-4.48333,48.400002,2022,01,14,19,0.0,2.62
-4.48333,48.400002,2022,01,14,20,0.0,2.83
-4.48333,48.400002,2022,01,14,21,0.0,2.9
-4.48333,48.400002,2022,01,14,22,0.0,2.97
-4.48333,48.400002,2022,01,14,23,0.0,3.1
-4.48333,48.400002,2022,01,15,00,0.0,3.24
-4.48333,48.400002,2022,01,15,01,0.0,3.17
-4.48333,48.400002,2022,01,15,02,0.0,2.97
-4.48333,48.400002,2022,01,15,03,0.0,2.69
-4.48333,48.400002,2022,01,15,04,0.0,2.34
-4.48333,48.400002,2022,01,15,05,0.0,2.21
-4.48333,48.400002,2022,01,15,06,0.0,2.0
-4.48333,48.400002,2022,01,15,07,0.0,2.41
-4.48333,48.400002,2022,01,15,08,0.0,2.62
-4.48333,48.400002,2022,01,15,09,63.78,2.9
-4.48333,48.400002,2022,01,15,10,168.73,3.17
-4.48333,48.400002,2022,01,15,11,264.87,3.93
-4.48333,48.400002,2022,01,15,12,256.57,4.62
-4.48333,48.400002,2022,01,15,13,197.74,5.24
-4.48333,48.400002,2022,01,15,14,113.36,5.38
-4.48333,48.400002,2022,01,15,15,124.9,4.9
-4.48333,48.400002,2022,01,15,16,14.54,4.28
-4.48333,48.400002,2022,01,15,17,0.0,3.93
-4.48333,48.400002,2022,01,15,18,0.0,3.72
-4.48333,48.400002,2022,01,15,19,0.0,3.86
-4.48333,48.400002,2022,01,15,20,0.0,4.0
-4.48333,48.400002,2022,01,15,21,0.0,4.07
-4.48333,48.400002,2022,01,15,22,0.0,4.07
-4.48333,48.400002,2022,01,15,23,0.0,4.21
-4.48333,48.400002,2022,01,16,00,0.0,4.34
-4.48333,48.400002,2022,01,16,01,0.0,4.48
-4.48333,48.400002,2022,01,16,02,0.0,4.69
-4.48333,48.400002,2022,01,16,03,0.0,4.69
-4.48333,48.400002,2022,01,16,04,0.0,4.41
-4.48333,48.400002,2022,01,16,05,0.0,3.86
-4.48333,48.400002,2022,01,16,06,0.0,3.72
-4.48333,48.400002,2022,01,16,07,0.0,4.34
-4.48333,48.400002,2022,01,16,08,0.0,4.28
-4.48333,48.400002,2022,01,16,09,54.46,4.41
-4.48333,48.400002,2022,01,16,10,108.43,4.41
-4.48333,48.400002,2022,01,16,11,113.25,4.34
-4.48333,48.400002,2022,01,16,12,194.86,4.34
-4.48333,48.400002,2022,01,16,13,173.03,4.07
-4.48333,48.400002,2022,01,16,14,144.87,3.45
